iata,type,name_en,iana timezone
IOP,city,Ioma,Pacific/Port_Moresby
IOP,airport,Ioma,Pacific/Port_Moresby
ITK,city,Itokama,Pacific/Port_Moresby
ITK,airport,Itokama,Pacific/Port_Moresby
IUS,city,Inus,Pacific/Port_Moresby
IUS,airport,Inus,Pacific/Port_Moresby
JAQ,city,Jacquinot Bay,Pacific/Port_Moresby
JAQ,airport,Jacquinot Bay,Pacific/Port_Moresby
JOP,city,Josephstaal,Pacific/Port_Moresby
JOP,airport,Josephstaal,Pacific/Port_Moresby
KAK,city,Kar,Pacific/Port_Moresby
KAK,airport,Kar,Pacific/Port_Moresby
KAQ,city,Kamulai,Pacific/Port_Moresby
KAQ,airport,Kamulai,Pacific/Port_Moresby
KBM,city,Kabwum,Pacific/Port_Moresby
KBM,airport,Kabwum,Pacific/Port_Moresby
KCJ,city,Komaio,Pacific/Port_Moresby
KCJ,airport,Komaio,Pacific/Port_Moresby
KDE,city,Koroba,Pacific/Port_Moresby
KDE,airport,Koroba,Pacific/Port_Moresby
KDP,city,Kandep,Pacific/Port_Moresby
KDP,airport,Kandep,Pacific/Port_Moresby
KDQ,city,Kamberatoro,Pacific/Port_Moresby
KDQ,airport,Kamberatoro,Pacific/Port_Moresby
KDR,city,Kandrian,Pacific/Port_Moresby
KDR,airport,Kandrian,Pacific/Port_Moresby
KEG,city,Keglsugl,Pacific/Port_Moresby
KEG,airport,Keglsugl,Pacific/Port_Moresby
KEX,city,Kanabea,Pacific/Port_Moresby
KEX,airport,Kanabea,Pacific/Port_Moresby
KGH,city,Yongai,Pacific/Port_Moresby
KGH,airport,Yongai,Pacific/Port_Moresby
KGM,city,Kungum,Pacific/Port_Moresby
KGM,airport,Kungum,Pacific/Port_Moresby
KGW,city,Kagi,Pacific/Port_Moresby
KGW,airport,Kagi,Pacific/Port_Moresby
KIA,city,Kaiapit,Pacific/Port_Moresby
KIA,airport,Kaiapit,Pacific/Port_Moresby
KIE,city,Kieta,Pacific/Port_Moresby
KIE,airport,Aropa,Pacific/Port_Moresby
KIQ,city,Kira,Pacific/Port_Moresby
KIQ,airport,Kira,Pacific/Port_Moresby
KIZ,city,Kikinonda,Pacific/Port_Moresby
KIZ,airport,Kikinonda,Pacific/Port_Moresby
KJU,city,Kamiraba,Pacific/Port_Moresby
KJU,airport,Kamiraba,Pacific/Port_Moresby
KKD,city,Kokoda,Pacific/Port_Moresby
KKD,airport,Kokoda,Pacific/Port_Moresby
KMA,city,Kerema,Pacific/Port_Moresby
KMA,airport,Kerema,Pacific/Port_Moresby
KMB,city,Koinambe,Pacific/Port_Moresby
KMB,airport,Koinambe,Pacific/Port_Moresby
KMR,city,Karimui,Pacific/Port_Moresby
KMR,airport,Karimui,Pacific/Port_Moresby
KNE,city,Kanainj,Pacific/Port_Moresby
KNE,airport,Kanainj,Pacific/Port_Moresby
KNL,city,Kelanoa,Pacific/Port_Moresby
KNL,airport,Kelanoa,Pacific/Port_Moresby
KPA,city,Kopiago,Pacific/Port_Moresby
KPA,airport,Kopiago,Pacific/Port_Moresby
KPE,city,Yapsiei,Pacific/Port_Moresby
KPE,airport,Yapsiei,Pacific/Port_Moresby
KPM,city,Kompiam,Pacific/Port_Moresby
KPM,airport,Kompiam,Pacific/Port_Moresby
KQL,city,Kol,Pacific/Port_Moresby
KQL,airport,Kol,Pacific/Port_Moresby
KRI,city,Kikori,Pacific/Port_Moresby
KRI,airport,Kikori,Pacific/Port_Moresby
KRJ,city,Karawari,Pacific/Port_Moresby
KRJ,airport,Karawari,Pacific/Port_Moresby
KRU,city,Kerau,Pacific/Port_Moresby
KRU,airport,Kerau,Pacific/Port_Moresby
KSB,city,Kasanombe,Pacific/Port_Moresby
KSB,airport,Kasanombe,Pacific/Port_Moresby
KSG,city,Kisengan,Pacific/Port_Moresby
KSG,airport,Kisengan,Pacific/Port_Moresby
KSP,city,Kosipe,Pacific/Port_Moresby
KSP,airport,Kosipe,Pacific/Port_Moresby
KSX,city,Yasuru,Pacific/Port_Moresby
KSX,airport,Yasuru,Pacific/Port_Moresby
KUP,city,Kupiano,Pacific/Port_Moresby
KUP,airport,Kupiano,Pacific/Port_Moresby
KUQ,city,Kuri,Pacific/Port_Moresby
KUQ,airport,Kuri,Pacific/Port_Moresby
KUW,city,Kugururok River,Pacific/Port_Moresby
KUW,airport,Kugururok River,Pacific/Port_Moresby
KVE,city,Kitava,Pacific/Port_Moresby
KVE,airport,Kitava,Pacific/Port_Moresby
KVG,city,Kavieng,Pacific/Port_Moresby
KVG,airport,Kavieng,Pacific/Port_Moresby
KWO,city,Kawito,Pacific/Port_Moresby
KWO,airport,Kawito,Pacific/Port_Moresby
KWV,city,Kurwina,Pacific/Port_Moresby
KWV,airport,Kurwina,Pacific/Port_Moresby
KWX,city,Kiwai Island,Pacific/Port_Moresby
KWX,airport,Kiwai Island,Pacific/Port_Moresby
KXR,city,Karoola,Pacific/Port_Moresby
KXR,airport,Karoola,Pacific/Port_Moresby
KYX,city,Yalumet,Pacific/Port_Moresby
KYX,airport,Yalumet,Pacific/Port_Moresby
KZF,city,Kaintiba,Pacific/Port_Moresby
KZF,airport,Kaintiba,Pacific/Port_Moresby
LAE,city,Lae,Pacific/Port_Moresby
LAE,airport,Nadzab,Pacific/Port_Moresby
LGM,city,Laiagam,Pacific/Port_Moresby
LGM,airport,Laiagam,Pacific/Port_Moresby
LGN,city,Linga Linga,Pacific/Port_Moresby
LGN,airport,Linga Linga,Pacific/Port_Moresby
LMG,city,Lamassa,Pacific/Port_Moresby
LMG,airport,Lamassa,Pacific/Port_Moresby
LMI,city,Lumi,Pacific/Port_Moresby
LMI,airport,Lumi,Pacific/Port_Moresby
LMY,city,Lake Murray,Pacific/Port_Moresby
LMY,airport,Lake Murray,Pacific/Port_Moresby
LNF,city,Munbil,Pacific/Port_Moresby
LNF,airport,Munbil,Pacific/Port_Moresby
LNM,city,Langimar,Pacific/Port_Moresby
LNM,airport,Langimar,Pacific/Port_Moresby
LNQ,city,Loani,Pacific/Port_Moresby
LNQ,airport,Loani,Pacific/Port_Moresby
LNV,city,Lihir Island,Pacific/Port_Moresby
LNV,airport,Lihir Island,Pacific/Port_Moresby
LPN,city,Leron Plains,Pacific/Port_Moresby
LPN,airport,Leron Plains,Pacific/Port_Moresby
LSA,city,Losuia,Pacific/Port_Moresby
LSA,airport,Losuia,Pacific/Port_Moresby
LSJ,city,Long Island,Pacific/Port_Moresby
LSJ,airport,Long Island,Pacific/Port_Moresby
LTF,city,Leitre,Pacific/Port_Moresby
LTF,airport,Leitre,Pacific/Port_Moresby
LWI,city,Lowai,Pacific/Port_Moresby
LWI,airport,Lowai,Pacific/Port_Moresby
MAG,city,Madang,Pacific/Port_Moresby
MAG,airport,Madang,Pacific/Port_Moresby
MAP,city,Mamai,Pacific/Port_Moresby
MAP,airport,Mamai,Pacific/Port_Moresby
MAS,city,Manus Island,Pacific/Port_Moresby
MAS,airport,Momote,Pacific/Port_Moresby
MBV,city,Masa,Pacific/Port_Moresby
MBV,airport,Masa,Pacific/Port_Moresby
MDM,city,Munduku,Pacific/Port_Moresby
MDM,airport,Munduku,Pacific/Port_Moresby
MDU,city,Mendi,Pacific/Port_Moresby
MDU,airport,Mendi,Pacific/Port_Moresby
MFZ,city,Mesalia,Pacific/Port_Moresby
MFZ,airport,Mesalia,Pacific/Port_Moresby
MGG,city,Margarima,Pacific/Port_Moresby
MGG,airport,Margarima,Pacific/Port_Moresby
MHY,city,Morehead,Pacific/Port_Moresby
MHY,airport,Morehead,Pacific/Port_Moresby
MIS,city,Misima Island,Pacific/Port_Moresby
MIS,airport,Misima Island,Pacific/Port_Moresby
MKN,city,Malekolon,Pacific/Port_Moresby
MKN,airport,Malekolon,Pacific/Port_Moresby
MLQ,city,Malalaua,Pacific/Port_Moresby
MLQ,airport,Malalaua,Pacific/Port_Moresby
MPF,city,Mapoda,Pacific/Port_Moresby
MPF,airport,Mapoda,Pacific/Port_Moresby
MPG,city,Makini,Pacific/Port_Moresby
MPG,airport,Makini,Pacific/Port_Moresby
MPU,city,Mapua,Pacific/Port_Moresby
MPU,airport,Mapua,Pacific/Port_Moresby
MPX,city,Miyanmin,Pacific/Port_Moresby
MPX,airport,Miyanmin,Pacific/Port_Moresby
MRH,city,May River,Pacific/Port_Moresby
MRH,airport,May River,Pacific/Port_Moresby
MVI,city,Manetai,Pacific/Port_Moresby
MVI,airport,Manetai,Pacific/Port_Moresby
MWG,city,Marawaka,Pacific/Port_Moresby
MWG,airport,Marawaka,Pacific/Port_Moresby
MWI,city,Maramuni,Pacific/Port_Moresby
MWI,airport,Maramuni,Pacific/Port_Moresby
MXH,city,Moro,Pacific/Port_Moresby
MXH,airport,Moro,Pacific/Port_Moresby
MXK,city,Mindik,Pacific/Port_Moresby
MXK,airport,Mindik,Pacific/Port_Moresby
MYX,city,Menyamya,Pacific/Port_Moresby
MYX,airport,Menyamya,Pacific/Port_Moresby
MZN,city,Minj,Pacific/Port_Moresby
MZN,airport,Minj,Pacific/Port_Moresby
NBA,city,Nambaiyufa,Pacific/Port_Moresby
NBA,airport,Nambaiyufa,Pacific/Port_Moresby
NDI,city,Namudi,Pacific/Port_Moresby
NDI,airport,Namudi,Pacific/Port_Moresby
NDN,city,Nadunumu,Pacific/Port_Moresby
NDN,airport,Nadunumu,Pacific/Port_Moresby
